1,山东 济南
2,江苏 常州
3,安徽 巢湖
4,四川 宜宾
5,四川 自贡
6,陕西 西安
7,江苏 南京
8,湖北 武汉
9,北京 北京
10,河北 唐山
11,河北 秦皇岛
12,河北 廊坊
13,河北 沧州
14,河北 邢台
15,河北 邯郸
16,河北 衡水
17,河北 石家庄
18,山东 滨州
19,山东 东营
20,四川 攀枝花
21,四川 南充
22,四川 遂宁
23,四川 达州
24,四川 泸州
25,四川 内江
26,安徽 合肥
27,安徽 蚌埠
28,安徽 芜湖
29,安徽 淮南
30,广东 汕尾
31,广东 揭阳
32,广东 梅州
33,广东 河源
34,广东 潮州
35,广东 清远
36,广东 韶关
37,广东 云浮
38,广东 深圳
39,广东 中山
40,四川 绵阳
41,广东 佛山
42,广东 东莞
43,广西 防城港
44,广西 百色
45,广西 钦州
46,广西 河池
47,山西 太原
48,山西 晋中
49,江西 九江
50,青海 海北藏族自治州
51,贵州 贵阳
52,贵州 遵义
53,贵州 安顺
54,宁夏 石嘴山
55,宁夏 吴忠
56,宁夏 固原
57,宁夏 银川
58,山西 运城
59,山西 临汾
60,吉林 辽源
61,吉林 松原
62,吉林 白城
63,吉林 白山
64,吉林 延边
65,吉林 吉林
66,吉林 通化
67,辽宁 丹东
68,辽宁 抚顺
69,辽宁 葫芦岛
70,安徽 铜陵
71,云南 大理白族自治州
72,云南 丽江
73,安徽 宿州
74,安徽 六安
75,安徽 淮北
76,甘肃 嘉峪关
77,甘肃 张掖
78,甘肃 武威
79,广西 贵港
80,新疆 喀什地区
81,河南 濮阳
82,河南 三门峡
83,河南 鹤壁
84,内蒙古 兴安盟
85,内蒙古 锡林郭勒
86,江西 景德镇
87,江西 吉安
88,江西 抚州
89,新疆 吐鲁番地区
90,湖北 黄冈
91,湖南 怀化
92,湖北 孝感
93,湖北 随州
94,湖北 襄阳
95,湖北 十堰
96,湖北 荆州
97,湖北 江汉（天门/仙桃/潜江）区
98,云南 临沧
99,云南 怒江傈僳族自治州
a,天津 天津
b,山东 淄博
c,山东 烟台
d,上海 上海
e,江苏 无锡
f,广东 广州
g,湖北 荆门
h,山东 潍坊
i,浙江 温州
j,广西 南宁
k,甘肃 兰州
l,浙江 宁波
m,吉林 长春
n,辽宁 本溪
o,辽宁 营口
p,辽宁 大连
q,内蒙古 包头
r,新疆 乌鲁木齐
s,黑龙江 佳木斯
t,黑龙江 哈尔滨
u,福建 福州
v,河北 保定
1a,山东 临沂
1b,山东 日照
1c,山东 枣庄
1d,山东 威海
1e,山东 青岛
1f,山东 聊城
1g,山东 德州
1h,山东 泰安
1i,山东 济宁
1j,山东 菏泽
1k,重庆 重庆
1l,辽宁 沈阳
1m,浙江 嘉兴
1n,浙江 湖州
1o,浙江 舟山
1p,浙江 绍兴
1q,浙江 衢州
1r,浙江 金华
1s,浙江 台州
1t,浙江 丽水
1u,山东 莱芜
1v,四川 凉山
2a,江苏 镇江
2b,江苏 连云港
2c,江苏 盐城
2d,江苏 宿迁
2e,江苏 徐州
2f,江苏 南通
2g,江苏 淮安
2h,浙江 杭州
2i,福建 莆田
2j,福建 厦门
2k,福建 漳州
2l,安徽 阜阳
2m,江苏 扬州
2n,江苏 泰州
2o,江苏 苏州
2p,福建 泉州
2q,福建 三明
2r,福建 宁德
2s,福建 南平
2t,福建 龙岩
2u,海南 海口
2v,广东 汕头
3a,广东 肇庆
3b,广东 湛江
3c,广东 阳江
3d,广东 茂名
3e,广东 珠海
3f,广东 惠州
3g,广东 江门
3h,广西 柳州
3i,广西 桂林
3j,广西 玉林
3k,广西 梧州
3l,广西 北海
3m,江西 南昌
3n,江西 鹰潭
3o,江西 上饶
3p,江西 宜春
3q,江西 新余
3r,江西 萍乡
3s,四川 乐山
3t,四川 眉山
3u,四川 德阳
3v,四川 广元
4a,湖南 岳阳
4b,湖南 长沙
4c,湖南 湘潭
4d,湖南 株洲
4e,湖南 衡阳
4f,湖南 郴州
4g,湖南 常德
4h,湖南 益阳
4i,湖南 娄底
4j,湖南 邵阳
4k,河南 郑州
4l,河南 洛阳
4m,河南 安阳
4n,河南 开封
4o,河南 焦作
4p,河南 新乡
4q,河南 许昌
4r,河南 漯河
4s,青海 海西
4t,青海 西宁
4u,青海 海东
4v,青海 海南藏族自治州
5a,山西 大同
5b,山西 晋城
5c,山西 长治
5d,四川 成都
5e,辽宁 辽阳
5f,辽宁 阜新
